model,keypad,row,physical_key,access,prefix_color,function,description,keyboard_printed_page,keyboard_pdf_page,function_printed_pages,function_pdf_pages,manual_pdf
HP-35,,1,x^y,none,,x^y,"Raises Y to the power of X (any real power, via logarithms)",,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,1,log,none,,log,Common (base-10) logarithm of X,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,1,ln,none,,ln,Natural (base-e) logarithm of X,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,1,e^x,none,,e^x,Raises e to the power X (natural antilogarithm),,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,1,CLR,none,,CLR,Clears the entire machine (stack and memory),,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,2,√x,none,,√x,Square root of the value in X,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,2,arc,none,,arc,Pressed before sin/cos/tan to give inverse trig; result in decimal degrees,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,2,sin,none,,sin,"Sine of X, angle in decimal degrees",,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,2,cos,none,,cos,"Cosine of X, angle in decimal degrees",,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,2,tan,none,,tan,"Tangent of X, angle in decimal degrees",,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,3,1/x,none,,1/x,Reciprocal of the value in X,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,3,x⇄y,none,,x⇄y,Exchanges the X and Y registers,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,3,R↓,none,,R↓,Rolls the stack contents down one position,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,3,STO,none,,STO,Stores X into the single constant-memory register,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,3,RCL,none,,RCL,Recalls the stored constant into X,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,4,ENTER↑,none,,ENTER↑,Terminates entry and copies X up into Y (lifts the 4-level stack),,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,4,CHS,none,,CHS,Changes the sign of the mantissa or exponent being entered,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,4,EEX,none,,EEX,Enter exponent — keys a power-of-ten exponent (scientific notation),,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,4,CLx,none,,CLx,Clears the X register (display) only,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,5,−,none,,−,"Subtracts X from Y, result in X",,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,5,7,none,,7,digit 7,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,5,8,none,,8,digit 8,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,5,9,none,,9,digit 9,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,6,+,none,,+,"Adds Y to X, result in X",,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,6,4,none,,4,digit 4,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,6,5,none,,5,digit 5,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,6,6,none,,6,digit 6,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,7,×,none,,×,"Multiplies Y by X, result in X",,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,7,1,none,,1,digit 1,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,7,2,none,,2,digit 2,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,7,3,none,,3,digit 3,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,8,÷,none,,÷,"Divides Y by X, result in X",,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,8,0,none,,0,digit 0,,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-35,,8,π,none,,π,Enters the constant pi (3.141592654),,2–3,11–20,13–34,hp/manuals/HP-35.pdf
HP-45,,1,1/x,none,,1/x,Reciprocal of X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,1,1/x,shift,s,y^x,Raises Y to the power of X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,1,ln,none,,ln,Natural (base-e) logarithm of X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,1,ln,shift,s,log,Common (base-10) logarithm of X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,1,e^x,none,,e^x,Natural antilogarithm — e raised to X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,1,e^x,shift,s,10^x,Common antilogarithm — 10 raised to X,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
HP-45,,1,FIX,none,,FIX,Fixed-decimal display mode; follow with digit for places,10,12,58–59; 16–41,60–61; 18–43,hp/manuals/HP-45.pdf
